experiment,comparison,first,second,task_id,init_state_index,environment_seed,first_policy_rng_seed,second_policy_rng_seed,policy_rng_batch_size,first_success,second_success,cell,first_steps,second_steps,step_difference_second_minus_first,first_logical_vlm_forwards,second_logical_vlm_forwards,logical_vlm_forward_difference_second_minus_first,actual_vlm_forward_difference_second_minus_first,episode_wall_difference_second_minus_first
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,0,1000,1008,1008,3,True,True,both_success,91,91,0,10,10,0,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,1,1001,1008,1008,3,True,True,both_success,97,97,0,10,10,0,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,2,1002,1008,1008,3,False,False,both_fail,280,280,0,28,28,0,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,3,1003,1003,1003,1,True,True,both_success,97,95,-2,10,10,0,0,0.5566069430005882
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,4,1004,1004,1004,1,False,False,both_fail,280,280,0,28,28,0,0,1.8641085979998024
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,5,1005,1005,1005,1,True,True,both_success,93,93,0,10,10,0,0,0.7384273859988753
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,6,1006,1006,1006,1,True,True,both_success,87,87,0,9,9,0,0,0.4712833010007671
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,7,1007,1007,1007,1,True,True,both_success,86,87,1,9,9,0,0,1.4522697229995174
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,8,1008,1008,1008,1,True,True,both_success,97,101,4,10,11,1,1,0.6466819680008484
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,8,9,1009,1009,1009,1,True,True,both_success,89,89,0,9,9,0,0,-0.4831283820003591
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,0,1000,1004,1004,3,True,True,both_success,127,126,-1,13,13,0,,
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,1,1001,1004,1004,3,False,False,both_fail,280,280,0,28,28,0,,
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,2,1002,1004,1004,3,True,True,both_success,129,131,2,13,14,1,,
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,3,1003,1003,1003,1,False,False,both_fail,280,280,0,28,28,0,0,3.2325178420005614
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,4,1004,1004,1004,1,True,True,both_success,128,128,0,13,13,0,0,3.7471339250014353
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,5,1005,1005,1005,1,True,True,both_success,122,123,1,13,13,0,0,2.39844753899888
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,6,1006,1006,1006,1,True,True,both_success,237,247,10,24,25,1,1,3.174269159000687
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,7,1007,1007,1007,1,True,True,both_success,129,130,1,13,13,0,0,1.4415476310005033
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,8,1008,1008,1008,1,False,False,both_fail,280,280,0,28,28,0,0,-5.299714288998985
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,4,9,1009,1009,1009,1,False,False,both_fail,280,280,0,28,28,0,0,-0.33752730100059125
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,0,1000,1005,1005,3,False,False,both_fail,280,280,0,28,28,0,,
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,1,1001,1005,1005,3,False,False,both_fail,280,280,0,28,28,0,,
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,2,1002,1005,1005,3,False,False,both_fail,280,280,0,28,28,0,,
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,3,1003,1003,1003,1,False,False,both_fail,280,280,0,28,28,0,0,2.859631927999544
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,4,1004,1004,1004,1,False,False,both_fail,280,280,0,28,28,0,0,3.1182779740001934
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,5,1005,1005,1005,1,False,False,both_fail,280,280,0,28,28,0,0,2.413429705999988
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,6,1006,1006,1006,1,False,False,both_fail,280,280,0,28,28,0,0,-0.738771710999572
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,7,1007,1007,1007,1,False,False,both_fail,280,280,0,28,28,0,0,1.8516751470015151
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,8,1008,1008,1008,1,False,False,both_fail,280,280,0,28,28,0,0,5.4186111440003515
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,5,9,1009,1009,1009,1,False,False,both_fail,280,280,0,28,28,0,0,1.6402291309996144
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,7,0,1000,1007,1007,3,True,True,both_success,115,114,-1,12,12,0,,
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,7,1,1001,1007,1007,3,True,True,both_success,116,115,-1,12,12,0,,
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,7,2,1002,1007,1007,3,True,True,both_success,131,126,-5,14,13,-1,,
C_policy_adaptation,pretrained_vs_lora,pretrained,lora,7,3,1003,1003,1003,1,True,True,both_success,107,105,-2,11,11,0,0,2.8870776249996197
